Name,Phone Number,Tags
Dome Oven,+917838260777,"Continental, Healthy Food, Pasta, Sandwich, North Indian, Pancake"
Carnatic Cafe,+919667180766,"South Indian, Beverages"
Chef & Masala By Shree Jagdamba Sweets,+911122071137,"Mithai, North Indian, South Indian, Chinese, Street Food, Shake"
Laidback Cafe,+919990816806,"Asian, Oriental, Continental, Italian, Middle Eastern, North Indian, Desserts, Beverages"
PLATE,+919899343481,"Asian, Continental, Japanese"
Unaav - The Dakshin Cafe,+919319223833,"South Indian, Beverages"
Beyond Designs Bistro,+919717741360,"North Indian, Seafood, Continental, Middle Eastern, Asian, Oriental, Coffee, Beverages"
The Galaxy,+919899055544,"North Indian, Chinese, Rolls, Momos"
Yum Yum Cha,+919810002993,"Asian, Chinese, Thai, Japanese, Sushi, Oriental, Ice Cream, Desserts"
Cultured - Heartcrafted Brew & Eatery,+911141618344,"Cafe, Fast Food, Beverages, Coffee, Pancake, Sandwich, Shake, Waffle"
Fabelle Chocolates - ITC Maurya,+911126112233,"Desserts, Bakery"
Zura,+91 8068972845,"Continental, Italian, Asian, Turkish, Sushi, Desserts"
Chache Di Hatti,+919811389963,Street Food
PCO,+919711108482,"Italian, Fast Food, North Indian, Continental"
Cafe Grato,+919870364666,"North Indian, Mughlai, Biryani, Chinese, Italian, Pasta, Continental, Coffee"
Brewocrat - Brewery Skybar & Kitchen,+917303203535,"Continental, Sushi, North Indian, Mediterranean, Asian, Pizza, American, Burger"
Breadtalk,+918448786288,"Bakery, Fast Food, Desserts, Beverages"
Cafe Belmonte,+917838287624,"North Indian, Chinese, Continental, Italian, Burger, Pizza"
Cake Desire,+911244726381,"Bakery, Desserts, Fast Food"
REVE,+911140396708,"French, Italian, Pizza, Pasta, Continental, Japanese, Peruvian"
Cafeteria & Co.,+919289088201,"Mexican, Coffee, Italian, North Indian, Continental, Burger, Beverages, Desserts"
Swagath,+919205558824,"South Indian, North Indian, Chinese, Seafood, Chettinad"
Mamagoto,+911244665763,"Asian, Japanese, Seafood, Rolls, Salad, Desserts, Beverages, Chinese"
The Thickshake Factory,+919891147779,"Shake, Beverages, Desserts"
Deja Brew,+918447441441,"Continental, Asian, Pasta, Pizza, Beverages, Burger, Desserts, Mediterranean"
Mon Delice,+919999908177,"Fast Food, Beverages, Desserts"
Monsoon By Cafe Lota,+918287143752,"North Indian, Modern Indian, Beverages"
Caffe-Bella Italia,+917428580577,"Pizza, Pasta, Sandwich, Continental, Italian, Coffee, Tea, Desserts"
IFC Moti Mahal,+919667302657,"North Indian, Oriental, Chinese, Seafood, Biryani, Momos, Desserts"
Andrea's Bistro,+919891992292,"Pizza, Asian, Sushi, Burger, Salad, Thai, Pasta, Beverages"
"Cena Pranzo - Italian Eatery, Grand Hyatt Gurgaon",+91 8068972919,"Italian, Pasta, Pizza, Beverages, Desserts"
Bira 91 Taproom,+911141010658,"Bar Food, Burger, Pasta, Italian, North Indian, Asian"
California Burrito,+911141172144,"Mexican, American, Continental, Healthy Food, Beverages, Fast Food"
Kishu Di Hatti Sweets,+919811326625,"Mithai, Street Food"
Little Saigon,+919643273460,Vietnamese
Shree Nameshwaram,+917428336551,"South Indian, Andhra, Chettinad, Biryani, Chinese"
Olive Bar & Kitchen,+919810235472,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts"
Kings Kulfi,+918383991560,"Ice Cream, Desserts, Shake"
Balloch,+919810645449,"North Indian, Chinese, Kebab, Biryani, Mughlai, Beverages, Desserts, Modern Indian"
Open Tap,+918800669652,"Finger Food, North Indian, Chinese, Italian, Bar Food"
Delhi Baking Company - JW Marriott New Delhi,+911145212127,"Cafe, Continental, Bakery"
Chinese Veg Crunch by Punjabi Angithi,+919953960777,"Chinese, North Indian, Rolls, Momos, Fast Food"
Halwaivala Restaurant,+917280080011,"Mithai, Street Food, North Indian, Chinese, South Indian"
Ocean Blue,+918178723266,"North Indian, Mughlai, Biryani, Continental, Chinese, Desserts, Beverages"
Janak Taste Budz,+917303832626,"Chinese, Rolls, Mughlai, North Indian"
Quoin - Novotel New Delhi Aerocity,+919871666600,"North Indian, Oriental"
Open Tap Golf Course Road,+918800644877,"Finger Food, North Indian, Biryani, Continental, Chinese, Desserts, Beverages, Rolls"
PizzaExpress,+911140870795,"Pizza, Italian, Salad, Bakery, Coffee, Beverages, Pasta, Cafe"
Mr Ohashi,+911294019715,"Asian, Sushi, Chinese, Japanese, Salad, Thai, Beverages"
Striker Privè,+918076638341,"North Indian, Chinese, Japanese, European, Pizza, Beverages"
@ Links - Radisson Blu MBD Hotel Noida,+919582013546,"Finger Food, Beverages"
